Particle_no,Perimeter,Convex_Perimeter,Area,Convex area,Solidity,Convexity,Equi_diameter,Circularity,Compactness,Min_Feret,Max_Feret,Aspect_ratio,Feret_aspect_ratio,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
272,15.0711,14.8929,15.5,16,0.96875,0.98818,4.44243,0.878176,0.857538,4.12311,5.38516,19.8234,0.765641,3,1.79505,5.16667,1.72222
273,8.82843,8.65028,4,4.5,0.888889,0.979821,2.25676,0.671753,0.644916,2.23607,3.16228,11.8908,0.707107,3,1.05409,1.33333,0.444444
274,10.8284,10.4721,5,6,0.833333,0.967097,2.52313,0.57294,0.535857,2.23607,4.47214,11.0565,0.5,5,0.894427,1,0.2
275,17.8995,17.1131,17.5,20,0.875,0.956067,4.72035,0.750913,0.686383,4.12311,6.7082,18.9063,0.614636,4,1.67705,4.375,1.09375
276,15.0711,14.7148,14.5,15.5,0.935484,0.976359,4.29674,0.841532,0.802213,4,5.38516,18.9601,0.742781,4,1.34629,3.625,0.90625
277,42.3848,33.9166,58.5,82,0.713415,0.800207,8.63044,0.63906,0.40921,9.05539,12.3693,32.5,0.732084,14,0.883523,4.17857,0.298469
279,19.0711,18.641,23.5,25,0.94,0.977448,5.47002,0.849845,0.811947,5.38516,6.7082,23.9976,0.802773,4,1.67705,5.875,1.46875
280,18.1421,17.7121,18,19.5,0.923077,0.976294,4.78731,0.721015,0.687235,3.60555,6.7082,18.5495,0.537484,5,1.34164,3.6,0.72
281,29.799,25.173,26,38,0.684211,0.844761,5.75363,0.515599,0.367943,5.09902,10.198,19.2778,0.5,9,1.13312,2.88889,0.320988
282,56.2843,51.4104,181,197.5,0.916456,0.913406,15.1808,0.860572,0.717983,14.2127,17.6918,60.5596,0.803348,12,1.47432,15.0833,1.25694
283,26.9706,23.4154,28,36,0.777778,0.868183,5.97082,0.641749,0.483713,6.7082,8.544,23.6328,0.785136,7,1.22057,4,0.571429
284,54.0416,49.0391,131.5,154,0.853896,0.907433,12.9395,0.687147,0.565821,10.0499,19.6469,41.8722,0.511525,20,0.982344,6.575,0.32875
285,97.7401,72.7456,221,336.5,0.656761,0.744276,16.7746,0.524794,0.290708,18.6815,29.7321,48.5406,0.628328,30,0.991071,7.36667,0.245556
286,89.2548,64.0034,184,254,0.724409,0.717087,15.3061,0.564444,0.290245,15.1327,25.1794,46.5875,0.600998,23,1.09475,8,0.347826
287,32.9706,28.0046,42,55,0.763636,0.849381,7.31273,0.672979,0.485519,7.61577,10.2956,27.6346,0.739709,1,10.2956,42,42
