Particle_no,Perimeter,Convex_Perimeter,Area,Convex area,Solidity,Convexity,Equi_diameter,Circularity,Compactness,Min_Feret,Max_Feret,Aspect_ratio,Feret_aspect_ratio,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
471,93.0122,76.4971,286.5,377,0.759947,0.822441,19.0993,0.615241,0.416155,19.7231,29.2746,60.7593,0.673728,28,1.04552,10.2321,0.365434
472,87.4975,71.143,269.5,345,0.781159,0.813086,18.524,0.669121,0.442362,17.0294,26.6833,61.4206,0.638203,26,1.02628,10.3654,0.398669
473,978.029,412.476,6896,11624,0.593255,0.421742,93.703,0.509343,0.090595,104.484,159.239,237.848,0.656149,195,0.816609,35.3641,0.181354
474,37.799,33.6653,56,73,0.767123,0.890641,8.44402,0.620914,0.492535,7.81025,12.8062,29.0949,0.609878,13,0.985096,4.30769,0.331361
475,55.1127,49.6678,94,121,0.77686,0.901205,10.94,0.478837,0.388897,10,21.095,28.9659,0.474045,20,1.05475,4.7,0.235
476,50.0416,46.4806,120.5,138,0.873188,0.928838,12.3865,0.700897,0.604692,10.198,18.868,39.8324,0.540495,12,1.57233,10.0417,0.836806
477,92.0833,72.2172,171,290,0.589655,0.78426,14.7555,0.412026,0.253422,16,28.6356,39.1405,0.558744,29,0.987436,5.89655,0.203329
478,78.4264,65.2129,221,285,0.775439,0.831517,16.7746,0.653033,0.451521,15.6205,25.4951,53.2721,0.612686,23,1.10848,9.6087,0.417769
479,204.551,146.131,1195.5,1527,0.782908,0.714396,39.0148,0.70352,0.35905,40.1123,53.3667,129.788,0.751637,51,1.04641,23.4412,0.459631
480,112.468,83.5903,333.5,464.5,0.717976,0.743236,20.6064,0.599783,0.33132,24.0832,29.1204,69.8503,0.82702,33,0.882438,10.1061,0.306244
481,117.296,85.5813,414.5,504.5,0.821606,0.729615,22.973,0.711176,0.378586,24.0416,30.5287,81.4423,0.78751,32,0.954021,12.9531,0.404785
482,629.879,279.505,2656.5,5130,0.517836,0.443743,58.1581,0.427309,0.0841405,72.4017,104.785,137.86,0.690951,114,0.919171,23.3026,0.204409
483,17.8995,17.7213,22.5,23,0.978261,0.990047,5.35237,0.900324,0.882492,5,6.32456,23.6818,0.790569,3,2.10819,7.5,2.5
484,224.108,148.565,1118,1475,0.757966,0.662919,37.7291,0.636528,0.27973,39.3192,59.2115,110.779,0.664047,66,0.897144,16.9394,0.256657
485,44.6274,39.6803,81,107.5,0.753488,0.889147,10.1554,0.646464,0.511083,11.6619,14.5602,36.6783,0.800943,13,1.12002,6.23077,0.47929
486,64.5269,57.3597,206.5,234,0.882479,0.888927,16.2149,0.788707,0.62323,13.8924,21.6333,57.502,0.642178,20,1.08167,10.325,0.51625
487,256.25,192.388,1856,2347.5,0.790628,0.750785,48.6121,0.63013,0.35519,56.0803,65.215,163.07,0.859929,69,0.945145,26.8986,0.389834
488,61.1127,57.1495,223,239.5,0.931106,0.93515,16.8503,0.858004,0.750329,14.5602,21.1896,62.8115,0.687139,14,1.51354,15.9286,1.13776
489,60.0416,52.8435,146.5,179,0.818436,0.880114,13.6576,0.659273,0.510673,13.1529,21.4709,42.8959,0.612594,20,1.07355,7.325,0.36625
490,67.598,59.2649,199,241,0.825726,0.876726,15.9177,0.711979,0.547262,17.0294,20.8806,57.5109,0.81556,17,1.22827,11.7059,0.688581
491,26.9706,23.0908,26,35,0.742857,0.856149,5.75363,0.612779,0.449162,5.65685,8.544,21.979,0.662085,10,0.8544,2.6,0.26
492,25.8995,24.5645,33.5,38.5,0.87013,0.948456,6.53097,0.697651,0.627584,6.32456,9.21954,25.5321,0.685994,8,1.15244,4.1875,0.523438
493,32.1421,31.3969,66,69.5,0.94964,0.976813,9.167,0.841359,0.802794,8.06226,12.0416,34.1743,0.669534,7,1.72023,9.42857,1.34694
494,24.7279,23.5432,33.5,35.5,0.943662,0.95209,6.53097,0.759493,0.688461,5,9.89949,23.4303,0.505076,6,1.64992,5.58333,0.930556
495,218.108,165.559,1021,1280,0.797656,0.75907,36.0552,0.468091,0.269708,24.6982,69.3542,85.6443,0.356117,66,1.05082,15.4697,0.234389
496,44.0416,39.6607,46.5,70,0.664286,0.900527,7.69452,0.371486,0.301256,6.7082,18.3848,19.0688,0.364878,16,1.14905,2.90625,0.181641
