Particle_no,Area,Convex area,Perimeter,Convex_Perimeter,Max_Feret,Min_Feret,Aspect_ratio,Feret_aspect_ratio,Circularity,Convexity,Solidity,Equi_diameter,Compactness,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
281,26,38,29.799,25.173,10.198,5.09902,19.2778,0.5,0.515599,0.844761,0.684211,5.75363,0.367943,9,1.13312,2.88889,0.320988
282,181,197.5,56.2843,51.4104,17.6918,14.2127,60.5596,0.803348,0.860572,0.913406,0.916456,15.1808,0.717983,12,1.47432,15.0833,1.25694
283,28,36,26.9706,23.4154,8.544,6.7082,23.6328,0.785136,0.641749,0.868183,0.777778,5.97082,0.483713,7,1.22057,4,0.571429
284,131.5,154,54.0416,49.0391,19.6469,10.0499,41.8722,0.511525,0.687147,0.907433,0.853896,12.9395,0.565821,20,0.982344,6.575,0.32875
285,221,336.5,97.7401,72.7456,29.7321,18.6815,48.5406,0.628328,0.524794,0.744276,0.656761,16.7746,0.290708,30,0.991071,7.36667,0.245556
286,184,254,89.2548,64.0034,25.1794,15.1327,46.5875,0.600998,0.564444,0.717087,0.724409,15.3061,0.290245,23,1.09475,8,0.347826
287,42,55,32.9706,28.0046,10.2956,7.61577,27.6346,0.739709,0.672979,0.849381,0.763636,7.31273,0.485519,1,10.2956,42,42
288,31,38,28.1421,26.0351,11.4018,5.65685,20.015,0.496139,0.574715,0.925129,0.815789,6.28255,0.491878,12,0.950146,2.58333,0.215278
290,771.5,1054,169.782,123.758,42.7551,35.1283,106.817,0.821617,0.632993,0.728925,0.731973,31.3417,0.336329,46,0.929459,16.7717,0.364603
291,109,132,50.2843,44.3216,17.0294,10.8167,40.2508,0.635176,0.697277,0.881421,0.825758,11.7806,0.541716,16,1.06434,6.8125,0.425781
292,92,141,63.598,45.3265,17.4642,12.6491,34.6235,0.724286,0.562721,0.712704,0.652482,10.823,0.285832,18,0.970236,5.11111,0.283951
293,75,100.5,46.2843,38.0622,13.4164,9.21954,36.3155,0.687184,0.650554,0.822357,0.746269,9.77205,0.439951,15,0.894427,5,0.333333
294,3,7,14.4853,13.5208,6.40312,2.23607,7.43243,0.349215,0.206219,0.933414,0.428571,1.95441,0.179671,6,1.06719,0.5,0.0833333
295,44.5,52,29.5563,27.282,10.0499,7.28011,28.9521,0.724398,0.751309,0.923049,0.855769,7.52723,0.64013,11,0.913625,4.04545,0.367769
296,43.5,48.5,29.5563,27.5461,10.7703,7,27.0266,0.649934,0.720409,0.931985,0.896907,7.44217,0.625745,8,1.34629,5.4375,0.679688
297,20.5,25,20.7279,18.8389,6.32456,5.65685,22.5186,0.894427,0.72586,0.908866,0.82,5.10895,0.599587,6,1.05409,3.41667,0.569444
298,141,150,48.2843,45.7954,17.4929,11.3137,48.3644,0.646762,0.84486,0.948454,0.94,13.3988,0.760007,1,17.4929,141,141
299,48.5,56.5,33.5563,31.4336,12.6491,6.7082,25.2423,0.53033,0.616826,0.936742,0.858407,7.85825,0.541255,11,1.14992,4.40909,0.400826
300,54.5,63,33.5563,29.7858,10.2956,8.06226,34.0506,0.783076,0.771945,0.887637,0.865079,8.33016,0.608215,10,1.02956,5.45,0.545
301,171,192.5,58.7696,53.1198,20.6155,13.1529,50.4596,0.638012,0.76154,0.903866,0.888312,14.7555,0.622159,19,1.08503,9,0.473684
302,26.5,30,21.8995,20.9946,7.81025,5.38516,23.0784,0.6895,0.75551,0.95868,0.883333,5.80869,0.694365,6,1.30171,4.41667,0.736111
303,37.5,40.5,26.7279,25.7634,10.6301,5.83095,24.3167,0.54853,0.709961,0.963913,0.925926,6.90988,0.659646,8,1.32877,4.6875,0.585938
304,67.5,91.5,48.8701,37.1341,15.0333,8.94427,30.7095,0.594964,0.615131,0.759854,0.737705,9.27058,0.355163,13,1.15641,5.19231,0.399408
305,23,25,19.6569,18.8929,6.7082,5,23.9976,0.745356,0.809729,0.961137,0.92,5.41152,0.748014,3,2.23607,7.66667,2.55556
306,80.5,103.5,54.8701,43.7374,19.3132,8.48528,28.0755,0.439351,0.52881,0.797109,0.777778,10.124,0.335997,19,1.01648,4.23684,0.222992
307,74.5,86.5,40.0416,35.1104,13,9.43398,36.6184,0.725691,0.759441,0.876848,0.861272,9.73942,0.583906,12,1.08333,6.20833,0.517361
308,122.5,178,85.4975,54.9829,22.2036,12.083,34.3045,0.544193,0.509203,0.643093,0.688202,12.4889,0.210591,22,1.00925,5.56818,0.253099
309,5.5,6.5,10.2426,9.88635,3.60555,2.82843,13.1542,0.784465,0.707132,0.965215,0.846154,2.64628,0.658793,4,0.901388,1.375,0.34375
310,804,984.5,193.137,120.048,47.1275,32.0156,99.2239,0.679341,0.701062,0.621568,0.816658,31.9951,0.270854,47,1.00271,17.1064,0.363966
311,3,5,9.65685,8.89292,3.16228,2.23607,10.5677,0.707107,0.476697,0.920892,0.6,1.95441,0.404259,4,0.790569,0.75,0.1875
312,55,92,52.6274,38.0748,14.4222,10.6301,27.9231,0.737068,0.476758,0.723478,0.597826,8.36828,0.249545,16,0.901388,3.4375,0.214844
313,97.5,99.5,37.5563,36.9772,13.6015,10.2956,44.0354,0.75695,0.89608,0.984579,0.979899,11.1419,0.868656,3,4.53382,32.5,10.8333
314,6.5,10,14.2426,13.0777,5.38516,2.82843,12.0655,0.525226,0.477597,0.918207,0.65,2.87681,0.402663,5,1.07703,1.3,0.26
315,7.5,8.5,12.2426,11.8863,4.47214,3,14.0698,0.67082,0.667074,0.970898,0.882353,3.09019,0.628812,4,1.11803,1.875,0.46875
316,51,66.5,37.799,31.3431,12.083,8,29.3438,0.662085,0.652373,0.829205,0.766917,8.05824,0.448559,12,1.00692,4.25,0.354167
317,39,41,24.4853,24.016,8.544,6.08276,29.3867,0.711934,0.849713,0.980835,0.95122,7.04673,0.817456,4,2.136,9.75,2.4375
318,84,113.5,49.1127,42.0485,17.0294,10.2956,32.4775,0.60458,0.597018,0.856164,0.740088,10.3418,0.437624,18,0.946077,4.66667,0.259259
319,162,215,69.9411,55.7726,19.8494,14.5602,51.0787,0.733533,0.65446,0.797422,0.753488,14.3619,0.416159,20,0.992472,8.1,0.405
320,3,3.5,9.65685,9.47871,4.47214,1.41421,8.03987,0.316228,0.419597,0.981552,0.857143,1.95441,0.404259,5,0.894427,0.6,0.12
321,309,359.5,88.0833,72.5403,28.2312,17.4929,65.8107,0.619629,0.737921,0.823542,0.859527,19.8351,0.500474,29,0.973489,10.6552,0.36742
322,69.5,74,33.2132,31.6479,11.1803,8.94427,38.5,0.8,0.871976,0.952872,0.939189,9.40692,0.791723,4,2.79508,17.375,4.34375
